"1,RTA-HYDERABAD-WZ",13
"2,RTA PEDDAPALLI",13
"2,RTA RAJANNA",13
"4,RTA MEDCHAL",13
"8,RTA MEDCHAL",13
"4,RTA KARIMNAGAR",12
"2,UNIT OFFICE RAMAGUNDAM",12
"2,RTA WARANGAL",12
"2,RTA NIRMAL",12
"1,RTA YADADRI",12
"1,RTA-HYDERABAD-SZ",12
"1,RTA KHAMMAM",12
"1,RTA KAMAREDDY",12
"7,RTA NIRMAL",12
"7,RTA KARIMNAGAR",12
"5,RTA JAYASHANKAR",12
"5,RTA KOMRAMBHEEM",11
"4,RTA SIDDIPET",11
"5,UNIT OFFICE BHADRACHALAM",11
"7,RTA MAHABOOBNAGAR",11
"7,RTA ADILABAD",11
"8,RTA IBRAHIMPATNAM",11
"4,RTA MAHABOOBNAGAR",11
"4,RTA NALGONDA",10
"1,RTA BHADRADRI",10
"8,RTA-HYDERABAD-CZ",10
"1,RTA KARIMNAGAR",9
"1,RTA VIKARABAD",9
"2,RTA JAGITYAL",9
"2,RTA KOMRAMBHEEM",9
"2,UNIT OFFICE SHADNAGAR",9
"2,RTA JOGULAMBA",9
"2,UNIT OFFICE BHADRACHALAM",9
"5,UNIT OFFICE BHODAN",9
"7,RTA-HYDERABAD-SZ",8
"7,RTA MANCHERIAL",8
"7,RTA MEDAK",8
"2,RTA SURYAPET",8
"1,RTA-HYDERABAD-CZ",8
"1,RTA RAJANNA",8
"1,RTA MEDAK",8
"1,RTA NARAYANPET",8
"1,RTA NAGARKURNOOL",7
"7,RTA KAMAREDDY",7
"7,RTA PEDDAPALLI",7
"7,RTA RAJANNA",7
"4,RTA RANGAREDDY",7
"4,RTA-HYDERABAD-CZ",7
"4,RTA-HYDERABAD-EZ",7
"8,RTA-HYDERABAD-NZ",7
"8,UNIT OFFICE KUKATPALLY",6
"8,RTA UPPAL",6
"4,RTA-HYDERABAD-WZ",6
"7,RTA JANGOAN",6
"1,RTA JANGOAN",6
"2,RTA JANGOAN",6
"2,RTA JAYASHANKAR",6
"2,RTA NARAYANPET",6
"2,UNIT OFFICE HUZURABAD",5
"1,RTA-HYDERABAD-NZ",5
"1,UNIT OFFICE SHADNAGAR",5
"1,RTA ADILABAD",5
"1,RTA NIRMAL",5
"5,UNIT OFFICE WYRA",5
"5,UNIT OFFICE PEBBAIR",5
"7,RTA VIKARABAD",5
"7,RTA WARANGAL",5
"7,UNIT OFFICE MIRYALAGUDA",5
"4,RTA-HYDERABAD-NZ",5
"4,RTA NIZAMABAD",5
"4,RTA YADADRI",5
"8,RTA RANGAREDDY",5
"8,RTA-HYDERABAD-EZ",4
"8,RTA SIDDIPET",4
"8,RTA MAHABOOBNAGAR",4
"8,UNIT OFFICE ZAHIRABAD",4
"9,UNIT OFFICE ZAHIRABAD",4
"5,RTA MULUGU",4
"7,UNIT OFFICE PARGI",4
"7,UNIT OFFICE KORUTLA",4
"7,UNIT OFFICE KUKATPALLY",4
"7,UNIT OFFICE ARMOOR",4
"7,RTA SURYAPET",4
"7,RTA HANUMAKONDA",4
"7,RTA JOGULAMBA",4
"7,RTA NARAYANPET",4
"1,RTA PEDDAPALLI",4
"1,RTA JOGULAMBA",4
"1,RTA WANAPARTHY",4
"1,UNIT OFFICE MIRYALAGUDA",4
"1,RTA-HYDERABAD-EZ",4
"2,UNIT OFFICE ARMOOR",4
"2,UNIT OFFICE SATTUPALLI",4
"4,RTA HANUMAKONDA",4
"4,RTA KAMAREDDY",3
"4,RTA ADILABAD",3
"4,RTA MANCHERIAL",3
"2,UNIT OFFICE WYRA",3
"3,RTA ADILABAD",3
"3,RTA NALGONDA",3
"2,UNIT OFFICE KALWAKURTHY",3
"2,UNIT OFFICE KODAD",3
"2,UNIT OFFICE KORUTLA",3
"2,UNIT OFFICE PEBBAIR",3
"2,RTA MAHABUBABAD",3
"1,RTA JAYASHANKAR",3
"1,RTA MANCHERIAL",3
"7,RTA KHAMMAM",3
"7,RTA KOMRAMBHEEM",3
"7,RTA SANGAREDDY",3
"7,RTA WANAPARTHY",3
"7,UNIT OFFICE ZAHIRABAD",3
"4,RTA RAJANNA",3
"4,UNIT OFFICE ZAHIRABAD",3
"4,RTA-HYDERABAD-SZ",3
"8,UNIT OFFICE SHADNAGAR",3
"8,UNIT OFFICE PARGI",3
"8,RTA-HYDERABAD-SZ",3
"8,RTA-HYDERABAD-WZ",3
"8,RTA KARIMNAGAR",3
"8,RTA MEDAK",3
"8,RTA NARAYANPET",3
"8,RTA WARANGAL",3
"8,RTA VIKARABAD",2
"8,RTA NIZAMABAD",2
"8,RTA NALGONDA",2
"8,UNIT OFFICE PATANCHERUVU",2
"8,UNIT OFFICE RAMAGUNDAM",2
"9,RTA-HYDERABAD-WZ",2
"DIESEL,50.0,5,RTA UPPAL",2
"4,RTA SANGAREDDY",2
"4,RTA SURYAPET",2
"4,RTA VIKARABAD",2
"4,UNIT OFFICE SHADNAGAR",2
"4,UNIT OFFICE PARGI",2
"8,RTA ADILABAD",2
"8,RTA BHADRADRI",2
"7,UNIT OFFICE SATTUPALLI",2
"7,UNIT OFFICE SHADNAGAR",2
"7,UNIT OFFICE KODAD",2
"7,RTA JAYASHANKAR",2
"7,RTA JAGITYAL",2
"7,RTA NAGARKURNOOL",2
"1,RTA HANUMAKONDA",2
"0,RTA SANGAREDDY",2
"1,RTA SURYAPET",2
"10,RTA IBRAHIMPATNAM",2
"10,RTA MEDCHAL",2
"2,UNIT OFFICE BHODAN",2
"4,RTA MEDAK",2
"4,RTA NIRMAL",2
"4,RTA NAGARKURNOOL",2
"4,RTA KHAMMAM",2
"4,RTA KOMRAMBHEEM",1
"4,RTA BHADRADRI",1
"4,RTA JAGITYAL",1
"4,RTA MAHABUBABAD",1
"3,RTA RAJANNA",1
"3,RTA SANGAREDDY",1
